species,size,fragrance,height_cm,petal_length,petal_width,sepal_length,sepal_width
shoeblack plant,large,mild,115.53,5.7765,4.6212,80.871,34.659
shoeblack plant,medium,none,117.03,5.8515,4.6812,81.921,35.109
shoeblack plant,medium,mild,134.69,6.7345,5.3876,94.283,40.407
shoeblack plant,medium,none,50.74,2.537,2.0296,35.518,15.222
rose,small,strong,71.18,3.559,2.8472,49.826,21.354
rose,small,strong,78.42,3.921,3.1368,54.894,23.526
hibiscus,large,none,119.94,5.997,4.7976,83.958,35.982
shoeblack plant,medium,none,102.44,5.122,4.0976,71.708,30.732
hibiscus,large,none,133.01,6.6505,5.3204,93.107,39.903
rose,medium,mild,32.23,1.6115,1.2892,22.561,9.669
shoeblack plant,large,mild,90,4.5,3.6,63,27
hibiscus,large,none,146.68,7.334,5.8672,102.676,44.004
hibiscus,large,none,199.76,9.988,7.9904,139.832,59.928
rose,small,strong,57.38,2.869,2.2952,40.166,17.214
hibiscus,large,none,102.6,5.13,4.104,71.82,30.78
shoeblack plant,medium,none,141.42,7.071,5.6568,98.994,42.426
hibiscus,large,none,150.17,7.5085,6.0068,105.119,45.051
rose,medium,strong,89.79,4.4895,3.5916,62.853,26.937
rose,medium,strong,89.42,4.471,3.5768,62.594,26.826
rose,small,strong,67.79,3.3895,2.7116,47.453,20.337
hibiscus,large,none,164.15,8.2075,6.566,114.905,49.245
hibiscus,large,none,138.14,6.907,5.5256,96.698,41.442
hibiscus,large,none,128.99,6.4495,5.1596,90.293,38.697
hibiscus,large,none,110.04,5.502,4.4016,77.028,33.012
shoeblack plant,medium,mild,53.85,2.6925,2.154,37.695,16.155
rose,medium,strong,42.62,2.131,1.7048,29.834,12.786
hibiscus,large,none,104.9,5.245,4.196,73.43,31.47
rose,small,mild,77.21,3.8605,3.0884,54.047,23.163
shoeblack plant,large,none,59.92,2.996,2.3968,41.944,17.976
shoeblack plant,large,mild,64.15,3.2075,2.566,44.905,19.245
hibiscus,large,none,103.8,5.19,4.152,72.66,31.14
shoeblack plant,large,none,103.22,5.161,4.1288,72.254,30.966
shoeblack plant,medium,none,87.05,4.3525,3.482,60.935,26.115
shoeblack plant,large,mild,82.43,4.1215,3.2972,57.701,24.729
shoeblack plant,medium,mild,98.16,4.908,3.9264,68.712,29.448
hibiscus,large,none,164.89,8.2445,6.5956,115.423,49.467
rose,small,strong,84.46,4.223,3.3784,59.122,25.338
rose,medium,mild,46.53,2.3265,1.8612,32.571,13.959
hibiscus,large,none,180.9,9.045,7.236,126.63,54.27
shoeblack plant,medium,none,128.35,6.4175,5.134,89.845,38.505
shoeblack plant,medium,mild,97.54,4.877,3.9016,68.278,29.262
hibiscus,large,none,161.66,8.083,6.4664,113.162,48.498
hibiscus,large,none,135.16,6.758,5.4064,94.612,40.548
hibiscus,large,none,155.48,7.774,6.2192,108.836,46.644
rose,small,strong,76.75,3.8375,3.07,53.725,23.025
hibiscus,large,none,141.12,7.056,5.6448,98.784,42.336
rose,medium,mild,44.34,2.217,1.7736,31.038,13.302
shoeblack plant,large,none,137.56,6.878,5.5024,96.292,41.268
rose,small,strong,47.58,2.379,1.9032,33.306,14.274
shoeblack plant,medium,none,132.9,6.645,5.316,93.03,39.87
rose,small,mild,36.47,1.8235,1.4588,25.529,10.941
shoeblack plant,medium,mild,135.58,6.779,5.4232,94.906,40.674
hibiscus,large,none,194.51,9.7255,7.7804,136.157,58.353
rose,small,mild,68.99,3.4495,2.7596,48.293,20.697
shoeblack plant,medium,none,144.36,7.218,5.7744,101.052,43.308
shoeblack plant,medium,none,62.89,3.1445,2.5156,44.023,18.867
rose,small,mild,92.21,4.6105,3.6884,64.547,27.663
shoeblack plant,medium,mild,63.45,3.1725,2.538,44.415,19.035
rose,small,mild,44.87,2.2435,1.7948,31.409,13.461
shoeblack plant,large,none,142.32,7.116,5.6928,99.624,42.696
rose,medium,mild,99.08,4.954,3.9632,69.356,29.724
rose,small,mild,49.7,2.485,1.988,34.79,14.91
rose,small,mild,92.27,4.6135,3.6908,64.589,27.681
hibiscus,large,none,155.59,7.7795,6.2236,108.913,46.677
shoeblack plant,medium,none,65.22,3.261,2.6088,45.654,19.566
rose,medium,strong,53,2.65,2.12,37.1,15.9
rose,medium,mild,81.21,4.0605,3.2484,56.847,24.363
shoeblack plant,large,mild,60.86,3.043,2.4344,42.602,18.258
shoeblack plant,large,none,115.26,5.763,4.6104,80.682,34.578
hibiscus,large,none,156.57,7.8285,6.2628,109.599,46.971
hibiscus,large,none,129.06,6.453,5.1624,90.342,38.718
rose,small,strong,44.16,2.208,1.7664,30.912,13.248
rose,small,strong,49.36,2.468,1.9744,34.552,14.808
hibiscus,large,none,190.7,9.535,7.628,133.49,57.21
rose,medium,mild,46.62,2.331,1.8648,32.634,13.986
hibiscus,large,none,187.99,9.3995,7.5196,131.593,56.397
shoeblack plant,medium,none,59.76,2.988,2.3904,41.832,17.928
hibiscus,large,none,162.34,8.117,6.4936,113.638,48.702
hibiscus,large,none,100.21,5.0105,4.0084,70.147,30.063
rose,small,strong,69.62,3.481,2.7848,48.734,20.886
rose,small,strong,63.09,3.1545,2.5236,44.163,18.927
rose,medium,mild,73.82,3.691,2.9528,51.674,22.146
hibiscus,large,none,138.85,6.9425,5.554,97.195,41.655
hibiscus,large,none,101.56,5.078,4.0624,71.092,30.468
rose,medium,mild,72.92,3.646,2.9168,51.044,21.876
shoeblack plant,large,none,75.45,3.7725,3.018,52.815,22.635
hibiscus,large,none,117.95,5.8975,4.718,82.565,35.385
rose,small,strong,64.11,3.2055,2.5644,44.877,19.233
shoeblack plant,large,mild,60.28,3.014,2.4112,42.196,18.084
shoeblack plant,medium,none,130.62,6.531,5.2248,91.434,39.186
hibiscus,large,none,198.26,9.913,7.9304,138.782,59.478
hibiscus,large,none,190.76,9.538,7.6304,133.532,57.228
shoeblack plant,medium,mild,118.53,5.9265,4.7412,82.971,35.559
shoeblack plant,medium,none,140.53,7.0265,5.6212,98.371,42.159
shoeblack plant,medium,mild,93.72,4.686,3.7488,65.604,28.116
rose,small,mild,60.17,3.0085,2.4068,42.119,18.051
hibiscus,large,none,147.2,7.36,5.888,103.04,44.16
shoeblack plant,medium,mild,70.6,3.53,2.824,49.42,21.18
hibiscus,large,none,144.94,7.247,5.7976,101.458,43.482
shoeblack plant,large,none,65.66,3.283,2.6264,45.962,19.698
shoeblack plant,medium,mild,127.33,6.3665,5.0932,89.131,38.199
rose,small,mild,77.51,3.8755,3.1004,54.257,23.253
shoeblack plant,medium,none,102.05,5.1025,4.082,71.435,30.615
shoeblack plant,large,none,64.46,3.223,2.5784,45.122,19.338
rose,small,mild,98.63,4.9315,3.9452,69.041,29.589
rose,small,mild,30.74,1.537,1.2296,21.518,9.222
shoeblack plant,medium,mild,118.22,5.911,4.7288,82.754,35.466
shoeblack plant,medium,none,126.99,6.3495,5.0796,88.893,38.097
shoeblack plant,medium,mild,145.47,7.2735,5.8188,101.829,43.641
hibiscus,large,none,195.59,9.7795,7.8236,136.913,58.677
shoeblack plant,medium,none,123.53,6.1765,4.9412,86.471,37.059
rose,small,mild,80.56,4.028,3.2224,56.392,24.168
rose,medium,mild,45.13,2.2565,1.8052,31.591,13.539
shoeblack plant,medium,mild,121.34,6.067,4.8536,84.938,36.402
hibiscus,large,none,139.75,6.9875,5.59,97.825,41.925
rose,medium,mild,78.53,3.9265,3.1412,54.971,23.559
hibiscus,large,none,142.13,7.1065,5.6852,99.491,42.639
rose,medium,strong,46.7,2.335,1.868,32.69,14.01
hibiscus,large,none,114.17,5.7085,4.5668,79.919,34.251
rose,small,strong,72.24,3.612,2.8896,50.568,21.672
rose,small,mild,75.41,3.7705,3.0164,52.787,22.623
rose,small,strong,62.78,3.139,2.5112,43.946,18.834
rose,medium,mild,91.57,4.5785,3.6628,64.099,27.471
rose,medium,strong,73.05,3.6525,2.922,51.135,21.915
shoeblack plant,medium,mild,147.07,7.3535,5.8828,102.949,44.121
hibiscus,large,none,126.37,6.3185,5.0548,88.459,37.911
hibiscus,large,none,142.98,7.149,5.7192,100.086,42.894
shoeblack plant,large,none,137.74,6.887,5.5096,96.418,41.322
rose,medium,strong,33.72,1.686,1.3488,23.604,10.116
shoeblack plant,medium,mild,93.59,4.6795,3.7436,65.513,28.077
hibiscus,large,none,192.52,9.626,7.7008,134.764,57.756
hibiscus,large,none,173.86,8.693,6.9544,121.702,52.158
hibiscus,large,none,142.22,7.111,5.6888,99.554,42.666
rose,small,mild,68.21,3.4105,2.7284,47.747,20.463
rose,medium,mild,70.2,3.51,2.808,49.14,21.06
rose,medium,strong,53.95,2.6975,2.158,37.765,16.185
hibiscus,large,none,164.03,8.2015,6.5612,114.821,49.209
hibiscus,large,none,181.5,9.075,7.26,127.05,54.45
shoeblack plant,large,none,55.54,2.777,2.2216,38.878,16.662
hibiscus,large,none,138.13,6.9065,5.5252,96.691,41.439
shoeblack plant,large,mild,119.71,5.9855,4.7884,83.797,35.913
rose,small,strong,91.64,4.582,3.6656,64.148,27.492
rose,medium,mild,31.43,1.5715,1.2572,22.001,9.429
rose,small,strong,69.72,3.486,2.7888,48.804,20.916
shoeblack plant,large,mild,125.41,6.2705,5.0164,87.787,37.623
shoeblack plant,medium,none,70.34,3.517,2.8136,49.238,21.102
rose,medium,mild,67.82,3.391,2.7128,47.474,20.346
shoeblack plant,medium,none,96.37,4.8185,3.8548,67.459,28.911
rose,small,strong,84.98,4.249,3.3992,59.486,25.494
shoeblack plant,large,mild,147.06,7.353,5.8824,102.942,44.118
shoeblack plant,medium,mild,82.83,4.1415,3.3132,57.981,24.849
shoeblack plant,medium,none,100.73,5.0365,4.0292,70.511,30.219
shoeblack plant,large,mild,74.94,3.747,2.9976,52.458,22.482
shoeblack plant,medium,mild,99.89,4.9945,3.9956,69.923,29.967
shoeblack plant,large,none,142.56,7.128,5.7024,99.792,42.768
shoeblack plant,large,mild,57.35,2.8675,2.294,40.145,17.205
shoeblack plant,medium,none,87.11,4.3555,3.4844,60.977,26.133
shoeblack plant,large,mild,105.4,5.27,4.216,73.78,31.62
shoeblack plant,medium,none,54.42,2.721,2.1768,38.094,16.326
rose,medium,mild,78.96,3.948,3.1584,55.272,23.688
hibiscus,large,none,180.63,9.0315,7.2252,126.441,54.189
shoeblack plant,large,mild,119.6,5.98,4.784,83.72,35.88
hibiscus,large,none,161.53,8.0765,6.4612,113.071,48.459
hibiscus,large,none,183.7,9.185,7.348,128.59,55.11
hibiscus,large,none,164.3,8.215,6.572,115.01,49.29
shoeblack plant,medium,mild,74.21,3.7105,2.9684,51.947,22.263
rose,medium,mild,86.84,4.342,3.4736,60.788,26.052
rose,small,mild,36.85,1.8425,1.474,25.795,11.055
shoeblack plant,large,none,148.99,7.4495,5.9596,104.293,44.697
rose,small,mild,44.19,2.2095,1.7676,30.933,13.257
rose,medium,mild,95.09,4.7545,3.8036,66.563,28.527
shoeblack plant,medium,none,52.27,2.6135,2.0908,36.589,15.681
shoeblack plant,medium,none,59.96,2.998,2.3984,41.972,17.988
hibiscus,large,none,127.82,6.391,5.1128,89.474,38.346
hibiscus,large,none,139.4,6.97,5.576,97.58,41.82
rose,medium,strong,31.99,1.5995,1.2796,22.393,9.597
hibiscus,large,none,176.12,8.806,7.0448,123.284,52.836
rose,medium,strong,74.86,3.743,2.9944,52.402,22.458
shoeblack plant,large,none,141.37,7.0685,5.6548,98.959,42.411
shoeblack plant,medium,none,86.41,4.3205,3.4564,60.487,25.923
rose,small,strong,43.22,2.161,1.7288,30.254,12.966
shoeblack plant,medium,mild,139.79,6.9895,5.5916,97.853,41.937
rose,medium,strong,34.29,1.7145,1.3716,24.003,10.287
shoeblack plant,large,none,136.55,6.8275,5.462,95.585,40.965
shoeblack plant,medium,none,62.5,3.125,2.5,43.75,18.75
shoeblack plant,large,none,65.22,3.261,2.6088,45.654,19.566
rose,medium,strong,34.44,1.722,1.3776,24.108,10.332
rose,small,mild,91.54,4.577,3.6616,64.078,27.462
hibiscus,large,none,170.86,8.543,6.8344,119.602,51.258
rose,small,strong,85.18,4.259,3.4072,59.626,25.554
rose,medium,mild,98.11,4.9055,3.9244,68.677,29.433
hibiscus,large,none,188.45,9.4225,7.538,131.915,56.535
rose,small,mild,62.5,3.125,2.5,43.75,18.75
rose,small,mild,47.41,2.3705,1.8964,33.187,14.223
hibiscus,large,none,136.57,6.8285,5.4628,95.599,40.971
rose,small,mild,48.6,2.43,1.944,34.02,14.58
shoeblack plant,large,none,86.15,4.3075,3.446,60.305,25.845
rose,small,strong,86.36,4.318,3.4544,60.452,25.908
rose,medium,strong,86.44,4.322,3.4576,60.508,25.932
hibiscus,large,none,191.68,9.584,7.6672,134.176,57.504
shoeblack plant,large,mild,63.44,3.172,2.5376,44.408,19.032
hibiscus,large,none,134.1,6.705,5.364,93.87,40.23
shoeblack plant,medium,none,115.08,5.754,4.6032,80.556,34.524
rose,small,mild,46.73,2.3365,1.8692,32.711,14.019
hibiscus,large,none,163.85,8.1925,6.554,114.695,49.155
rose,small,strong,43.95,2.1975,1.758,30.765,13.185
shoeblack plant,medium,mild,66.91,3.3455,2.6764,46.837,20.073
shoeblack plant,medium,mild,96.13,4.8065,3.8452,67.291,28.839
rose,medium,mild,92.59,4.6295,3.7036,64.813,27.777
hibiscus,large,none,122.69,6.1345,4.9076,85.883,36.807
hibiscus,large,none,191.41,9.5705,7.6564,133.987,57.423
shoeblack plant,medium,mild,72.62,3.631,2.9048,50.834,21.786
shoeblack plant,large,none,100.72,5.036,4.0288,70.504,30.216
rose,medium,strong,75.42,3.771,3.0168,52.794,22.626
hibiscus,large,none,105.9,5.295,4.236,74.13,31.77
hibiscus,large,none,188.36,9.418,7.5344,131.852,56.508
rose,small,mild,56.74,2.837,2.2696,39.718,17.022
rose,small,strong,47.63,2.3815,1.9052,33.341,14.289
rose,small,strong,88.66,4.433,3.5464,62.062,26.598
rose,medium,strong,82.54,4.127,3.3016,57.778,24.762
hibiscus,large,none,199.12,9.956,7.9648,139.384,59.736
shoeblack plant,medium,mild,54.18,2.709,2.1672,37.926,16.254
rose,small,mild,30.31,1.5155,1.2124,21.217,9.093
rose,medium,strong,49.94,2.497,1.9976,34.958,14.982
rose,small,strong,93.23,4.6615,3.7292,65.261,27.969
rose,small,strong,82.57,4.1285,3.3028,57.799,24.771
shoeblack plant,large,mild,138.79,6.9395,5.5516,97.153,41.637
hibiscus,large,none,168.45,8.4225,6.738,117.915,50.535
shoeblack plant,large,mild,70.86,3.543,2.8344,49.602,21.258
rose,small,strong,58.94,2.947,2.3576,41.258,17.682
shoeblack plant,large,mild,111.56,5.578,4.4624,78.092,33.468
hibiscus,large,none,173.84,8.692,6.9536,121.688,52.152
hibiscus,large,none,190.24,9.512,7.6096,133.168,57.072
hibiscus,large,none,103.34,5.167,4.1336,72.338,31.002
shoeblack plant,large,mild,98.81,4.9405,3.9524,69.167,29.643
shoeblack plant,large,none,94.23,4.7115,3.7692,65.961,28.269
rose,small,strong,83.58,4.179,3.3432,58.506,25.074
hibiscus,large,none,186.77,9.3385,7.4708,130.739,56.031
shoeblack plant,medium,mild,124.15,6.2075,4.966,86.905,37.245
shoeblack plant,medium,none,124.21,6.2105,4.9684,86.947,37.263
shoeblack plant,medium,mild,111.47,5.5735,4.4588,78.029,33.441
rose,medium,mild,59.78,2.989,2.3912,41.846,17.934
shoeblack plant,medium,none,113.05,5.6525,4.522,79.135,33.915
rose,medium,strong,40.51,2.0255,1.6204,28.357,12.153
rose,small,mild,57.78,2.889,2.3112,40.446,17.334
rose,small,strong,55.99,2.7995,2.2396,39.193,16.797
hibiscus,large,none,161.89,8.0945,6.4756,113.323,48.567
hibiscus,large,none,199.89,9.9945,7.9956,139.923,59.967
shoeblack plant,medium,mild,120.76,6.038,4.8304,84.532,36.228
shoeblack plant,medium,mild,96.17,4.8085,3.8468,67.319,28.851
hibiscus,large,none,112.27,5.6135,4.4908,78.589,33.681
hibiscus,large,none,178.1,8.905,7.124,124.67,53.43
shoeblack plant,large,none,82.1,4.105,3.284,57.47,24.63
hibiscus,large,none,121.47,6.0735,4.8588,85.029,36.441
shoeblack plant,large,mild,105.04,5.252,4.2016,73.528,31.512
shoeblack plant,medium,none,137.81,6.8905,5.5124,96.467,41.343
rose,medium,strong,73.1,3.655,2.924,51.17,21.93
shoeblack plant,medium,none,140.98,7.049,5.6392,98.686,42.294
shoeblack plant,medium,mild,111.17,5.5585,4.4468,77.819,33.351
rose,medium,strong,44.09,2.2045,1.7636,30.863,13.227
rose,medium,strong,86.42,4.321,3.4568,60.494,25.926
shoeblack plant,large,none,107.34,5.367,4.2936,75.138,32.202
rose,medium,strong,47.28,2.364,1.8912,33.096,14.184
rose,medium,strong,56.82,2.841,2.2728,39.774,17.046
shoeblack plant,large,none,92.88,4.644,3.7152,65.016,27.864
hibiscus,large,none,105.35,5.2675,4.214,73.745,31.605
shoeblack plant,medium,mild,54.8,2.74,2.192,38.36,16.44
hibiscus,large,none,130.23,6.5115,5.2092,91.161,39.069
hibiscus,large,none,184.92,9.246,7.3968,129.444,55.476
rose,small,strong,44.58,2.229,1.7832,31.206,13.374
hibiscus,large,none,165.44,8.272,6.6176,115.808,49.632
shoeblack plant,medium,mild,120.39,6.0195,4.8156,84.273,36.117
hibiscus,large,none,158.45,7.9225,6.338,110.915,47.535
hibiscus,large,none,190.98,9.549,7.6392,133.686,57.294
rose,small,mild,57.6,2.88,2.304,40.32,17.28
rose,small,mild,43.83,2.1915,1.7532,30.681,13.149
rose,small,strong,83.25,4.1625,3.33,58.275,24.975
rose,small,strong,47.35,2.3675,1.894,33.145,14.205
rose,medium,strong,82.29,4.1145,3.2916,57.603,24.687
rose,small,mild,70.74,3.537,2.8296,49.518,21.222
rose,medium,mild,35.07,1.7535,1.4028,24.549,10.521
hibiscus,large,none,151.44,7.572,6.0576,106.008,45.432
shoeblack plant,medium,none,96.53,4.8265,3.8612,67.571,28.959
hibiscus,large,none,199.97,9.9985,7.9988,139.979,59.991
rose,medium,strong,31.07,1.5535,1.2428,21.749,9.321
hibiscus,large,none,144.61,7.2305,5.7844,101.227,43.383
rose,medium,mild,45.37,2.2685,1.8148,31.759,13.611
shoeblack plant,medium,none,95.52,4.776,3.8208,66.864,28.656
shoeblack plant,medium,none,92.86,4.643,3.7144,65.002,27.858
rose,small,strong,85.73,4.2865,3.4292,60.011,25.719
hibiscus,large,none,119.16,5.958,4.7664,83.412,35.748
hibiscus,large,none,151.91,7.5955,6.0764,106.337,45.573
hibiscus,large,none,117.23,5.8615,4.6892,82.061,35.169
shoeblack plant,large,mild,149.4,7.47,5.976,104.58,44.82
rose,small,strong,98.68,4.934,3.9472,69.076,29.604
hibiscus,large,none,153.95,7.6975,6.158,107.765,46.185
rose,medium,strong,53.08,2.654,2.1232,37.156,15.924
shoeblack plant,medium,mild,127.79,6.3895,5.1116,89.453,38.337
shoeblack plant,large,none,73.93,3.6965,2.9572,51.751,22.179
hibiscus,large,none,185.29,9.2645,7.4116,129.703,55.587
hibiscus,large,none,165.81,8.2905,6.6324,116.067,49.743
rose,small,strong,86.05,4.3025,3.442,60.235,25.815
hibiscus,large,none,102.39,5.1195,4.0956,71.673,30.717
hibiscus,large,none,160.9,8.045,6.436,112.63,48.27
shoeblack plant,large,none,62.45,3.1225,2.498,43.715,18.735
hibiscus,large,none,141.41,7.0705,5.6564,98.987,42.423
hibiscus,large,none,149.35,7.4675,5.974,104.545,44.805
shoeblack plant,medium,none,147.44,7.372,5.8976,103.208,44.232
hibiscus,large,none,188.23,9.4115,7.5292,131.761,56.469
shoeblack plant,medium,none,135.72,6.786,5.4288,95.004,40.716
hibiscus,large,none,123.77,6.1885,4.9508,86.639,37.131
hibiscus,large,none,118.49,5.9245,4.7396,82.943,35.547
shoeblack plant,medium,mild,118.85,5.9425,4.754,83.195,35.655
shoeblack plant,large,none,115.14,5.757,4.6056,80.598,34.542
shoeblack plant,medium,none,85.15,4.2575,3.406,59.605,25.545
hibiscus,large,none,191.75,9.5875,7.67,134.225,57.525
shoeblack plant,medium,mild,81.06,4.053,3.2424,56.742,24.318
shoeblack plant,medium,none,100.15,5.0075,4.006,70.105,30.045
rose,medium,strong,90.37,4.5185,3.6148,63.259,27.111
shoeblack plant,medium,mild,85.17,4.2585,3.4068,59.619,25.551
shoeblack plant,large,none,133.63,6.6815,5.3452,93.541,40.089
rose,small,mild,83.23,4.1615,3.3292,58.261,24.969
rose,small,strong,49.62,2.481,1.9848,34.734,14.886
shoeblack plant,medium,none,127.31,6.3655,5.0924,89.117,38.193
shoeblack plant,large,mild,67.07,3.3535,2.6828,46.949,20.121
rose,small,mild,57.98,2.899,2.3192,40.586,17.394
rose,small,strong,81.9,4.095,3.276,57.33,24.57
hibiscus,large,none,140.52,7.026,5.6208,98.364,42.156
shoeblack plant,medium,mild,139.71,6.9855,5.5884,97.797,41.913
shoeblack plant,large,mild,132.56,6.628,5.3024,92.792,39.768
shoeblack plant,medium,mild,66.85,3.3425,2.674,46.795,20.055
hibiscus,large,none,177.14,8.857,7.0856,123.998,53.142
shoeblack plant,large,none,118.32,5.916,4.7328,82.824,35.496
rose,small,mild,96.31,4.8155,3.8524,67.417,28.893
hibiscus,large,none,186.96,9.348,7.4784,130.872,56.088
rose,medium,mild,99.63,4.9815,3.9852,69.741,29.889
shoeblack plant,medium,mild,90.86,4.543,3.6344,63.602,27.258
shoeblack plant,medium,none,95.98,4.799,3.8392,67.186,28.794
shoeblack plant,large,mild,143.84,7.192,5.7536,100.688,43.152
rose,medium,mild,33.44,1.672,1.3376,23.408,10.032
shoeblack plant,medium,none,131.65,6.5825,5.266,92.155,39.495
hibiscus,large,none,191.81,9.5905,7.6724,134.267,57.543
shoeblack plant,large,mild,84.54,4.227,3.3816,59.178,25.362
shoeblack plant,large,none,137.39,6.8695,5.4956,96.173,41.217
rose,small,strong,47.33,2.3665,1.8932,33.131,14.199
hibiscus,large,none,132.28,6.614,5.2912,92.596,39.684
shoeblack plant,medium,none,102.45,5.1225,4.098,71.715,30.735
hibiscus,large,none,142.09,7.1045,5.6836,99.463,42.627
rose,small,mild,55.83,2.7915,2.2332,39.081,16.749
rose,medium,mild,86.65,4.3325,3.466,60.655,25.995
shoeblack plant,medium,none,68.03,3.4015,2.7212,47.621,20.409
shoeblack plant,medium,mild,85.14,4.257,3.4056,59.598,25.542
rose,medium,strong,76.72,3.836,3.0688,53.704,23.016
hibiscus,large,none,135.44,6.772,5.4176,94.808,40.632
rose,small,strong,48.27,2.4135,1.9308,33.789,14.481
rose,small,mild,36.07,1.8035,1.4428,25.249,10.821
shoeblack plant,medium,none,69.74,3.487,2.7896,48.818,20.922
hibiscus,large,none,177.29,8.8645,7.0916,124.103,53.187
shoeblack plant,large,mild,106.74,5.337,4.2696,74.718,32.022
rose,medium,mild,95.08,4.754,3.8032,66.556,28.524
rose,medium,strong,51.81,2.5905,2.0724,36.267,15.543
hibiscus,large,none,144.69,7.2345,5.7876,101.283,43.407
shoeblack plant,medium,mild,84.72,4.236,3.3888,59.304,25.416
shoeblack plant,medium,mild,53.56,2.678,2.1424,37.492,16.068
shoeblack plant,large,mild,82.29,4.1145,3.2916,57.603,24.687
rose,small,strong,40.07,2.0035,1.6028,28.049,12.021
rose,medium,strong,59.25,2.9625,2.37,41.475,17.775
rose,medium,mild,57.46,2.873,2.2984,40.222,17.238
shoeblack plant,large,none,56.68,2.834,2.2672,39.676,17.004
shoeblack plant,medium,mild,86.44,4.322,3.4576,60.508,25.932
hibiscus,large,none,163.18,8.159,6.5272,114.226,48.954
shoeblack plant,medium,none,116.6,5.83,4.664,81.62,34.98
shoeblack plant,medium,none,99.28,4.964,3.9712,69.496,29.784
hibiscus,large,none,133.06,6.653,5.3224,93.142,39.918
rose,small,mild,79.89,3.9945,3.1956,55.923,23.967
hibiscus,large,none,162.21,8.1105,6.4884,113.547,48.663
hibiscus,large,none,151.82,7.591,6.0728,106.274,45.546
shoeblack plant,medium,none,126,6.3,5.04,88.2,37.8
shoeblack plant,large,none,74.28,3.714,2.9712,51.996,22.284
rose,small,strong,60.94,3.047,2.4376,42.658,18.282
shoeblack plant,medium,mild,61.09,3.0545,2.4436,42.763,18.327
shoeblack plant,medium,none,109.29,5.4645,4.3716,76.503,32.787
hibiscus,large,none,140.27,7.0135,5.6108,98.189,42.081
hibiscus,large,none,112.78,5.639,4.5112,78.946,33.834
rose,medium,strong,51.12,2.556,2.0448,35.784,15.336
shoeblack plant,medium,mild,103.24,5.162,4.1296,72.268,30.972
hibiscus,large,none,109.59,5.4795,4.3836,76.713,32.877
shoeblack plant,large,none,136.95,6.8475,5.478,95.865,41.085
rose,small,strong,60.93,3.0465,2.4372,42.651,18.279
hibiscus,large,none,198.77,9.9385,7.9508,139.139,59.631
shoeblack plant,medium,mild,111.51,5.5755,4.4604,78.057,33.453
rose,small,strong,61.33,3.0665,2.4532,42.931,18.399
hibiscus,large,none,121.56,6.078,4.8624,85.092,36.468
shoeblack plant,medium,mild,119.27,5.9635,4.7708,83.489,35.781
rose,small,mild,47.06,2.353,1.8824,32.942,14.118
shoeblack plant,large,none,129.62,6.481,5.1848,90.734,38.886
rose,small,mild,74.12,3.706,2.9648,51.884,22.236
shoeblack plant,large,mild,124.72,6.236,4.9888,87.304,37.416
rose,small,mild,62.87,3.1435,2.5148,44.009,18.861
shoeblack plant,large,none,137.83,6.8915,5.5132,96.481,41.349
hibiscus,large,none,164.12,8.206,6.5648,114.884,49.236
shoeblack plant,medium,none,106.46,5.323,4.2584,74.522,31.938
hibiscus,large,none,112.79,5.6395,4.5116,78.953,33.837
shoeblack plant,large,mild,121.78,6.089,4.8712,85.246,36.534
hibiscus,large,none,189.61,9.4805,7.5844,132.727,56.883
shoeblack plant,large,mild,79.84,3.992,3.1936,55.888,23.952
hibiscus,large,none,122.58,6.129,4.9032,85.806,36.774
shoeblack plant,large,none,124.24,6.212,4.9696,86.968,37.272
shoeblack plant,medium,none,61.04,3.052,2.4416,42.728,18.312
rose,small,mild,78.13,3.9065,3.1252,54.691,23.439
shoeblack plant,large,none,97.87,4.8935,3.9148,68.509,29.361
hibiscus,large,none,187.96,9.398,7.5184,131.572,56.388
shoeblack plant,large,none,125.1,6.255,5.004,87.57,37.53
rose,medium,strong,85.9,4.295,3.436,60.13,25.77
hibiscus,large,none,116.89,5.8445,4.6756,81.823,35.067
hibiscus,large,none,198.59,9.9295,7.9436,139.013,59.577
shoeblack plant,medium,none,125.43,6.2715,5.0172,87.801,37.629
hibiscus,large,none,174.97,8.7485,6.9988,122.479,52.491
rose,medium,mild,38.51,1.9255,1.5404,26.957,11.553
hibiscus,large,none,197.06,9.853,7.8824,137.942,59.118
shoeblack plant,large,none,80.22,4.011,3.2088,56.154,24.066
shoeblack plant,large,none,104.59,5.2295,4.1836,73.213,31.377
rose,small,strong,82.75,4.1375,3.31,57.925,24.825
rose,small,mild,51.78,2.589,2.0712,36.246,15.534
hibiscus,large,none,199.65,9.9825,7.986,139.755,59.895
hibiscus,large,none,129.23,6.4615,5.1692,90.461,38.769
rose,small,strong,88.49,4.4245,3.5396,61.943,26.547
hibiscus,large,none,176.76,8.838,7.0704,123.732,53.028
rose,small,strong,94.94,4.747,3.7976,66.458,28.482
hibiscus,large,none,120.41,6.0205,4.8164,84.287,36.123
hibiscus,large,none,175.67,8.7835,7.0268,122.969,52.701
rose,medium,strong,89.55,4.4775,3.582,62.685,26.865
rose,medium,strong,66.62,3.331,2.6648,46.634,19.986
rose,small,strong,99.96,4.998,3.9984,69.972,29.988
hibiscus,large,none,164.49,8.2245,6.5796,115.143,49.347
shoeblack plant,medium,mild,114.02,5.701,4.5608,79.814,34.206
shoeblack plant,large,none,61.42,3.071,2.4568,42.994,18.426
